Place,Novice,Gender,Speaker,Team,Team Points,Speaker Points,AVG,#1,#2,#3,#4,#5,#6,#7,#8,#9
1,,Undefined,Zoe Seaman-Grant,Bates SGD,15,499,83.2,80,84,85,84,82,84,0,0,0
2,,Undefined,Danny DeBois,Harvard BD,16,496,82.7,84,86,80,82,82,82,0,0,0
3,,Undefined,Bobbi Leet,Stanford EL,16,494,82.3,82,82,83,84,83,80,0,0,0
4,,Undefined,Harry Elliott,Stanford EL,16,492,82,80,84,85,83,79,81,0,0,0
4,,Undefined,Sterling Higa,Hawaii DH,13,492,82,80,83,83,81,84,81,0,0,0
6,,Undefined,Dhruva Bhat,Harvard BD,16,490,81.7,80,85,81,82,81,81,0,0,0
7,,Undefined,Matt Davis,Bates SGD,15,487,81.2,79,83,82,84,78,81,0,0,0
8,,Undefined,Drew Latimer,Tufts SL,12,486,81,80,85,79,82,81,79,0,0,0
8,,Undefined,Archie Hall,Harvard HW,12,486,81,81,82,81,80,83,79,0,0,0
10,,Undefined,Alex Wu,Harvard HW,12,485,80.8,82,81,81,82,80,79,0,0,0
11,,Undefined,Andrew Bowles,George Washington BW,14,484,80.7,78,83,77,81,83,82,0,0,0
11,,Undefined,Tanner Terry,Columbia TS,13,484,80.7,82,82,82,81,80,77,0,0,0
13,,Undefined,David Wang,George Washington BW,14,483,80.5,77,85,78,81,80,82,0,0,0
13,,Undefined,Miriam Pierson,Swarthmore MP,14,483,80.5,79,82,78,79,85,80,0,0,0
15,,Undefined,Sarah Elton,Alaska EE,13,482,80.3,76,81,80,79,87,79,0,0,0
16,,Undefined,Joonpyo Sohn,Brown SQ,13,481,80.2,79,80,80,77,85,80,0,0,0
17,,Undefined,Nicholas Quah,Brown SQ,13,480,80,79,79,79,78,86,79,0,0,0
17,,Undefined,Jeremy Chen,Tufts CS,14,480,80,80,79,80,82,78,81,0,0,0
19,,Undefined,Richard Cambo,Brown CT,13,479,79.8,78,81,77,78,85,80,0,0,0
